frame,track_id,x1,y1,x2,y2,score,cls,feet_x,feet_y,three_z,three_x
42,2,245.22,218.97,315.55,321.65,0.681,0,280.38,321.65,-3.8703,4.4336
42,7,733.41,121.87,756.21,197.76,0.471,0,744.81,197.76,3.6299,7.4527
43,1,187.95,209.03,247.04,295.26,0.761,0,217.50,295.26,-4.0727,3.4260
43,2,245.26,219.02,315.50,321.55,0.680,0,280.38,321.55,-3.8695,4.4319
43,7,733.46,121.31,756.46,197.71,0.302,0,744.96,197.71,3.6356,7.4543
43,4,733.43,121.66,756.95,178.62,0.455,0,745.19,178.62,5.0142,7.2156
44,1,187.97,209.03,247.08,295.27,0.760,0,217.52,295.27,-4.0726,3.4264
44,2,245.21,219.03,315.43,321.56,0.680,0,280.32,321.56,-3.8699,4.4316
44,7,733.28,121.66,756.15,197.38,0.478,0,744.71,197.38,3.6528,7.4470
45,1,187.98,209.04,247.10,295.28,0.759,0,217.54,295.28,-4.0725,3.4267
45,2,245.14,219.03,315.35,321.56,0.680,0,280.24,321.56,-3.8704,4.4309
45,7,733.02,121.82,755.98,197.56,0.386,0,744.50,197.56,3.6385,7.4458
45,4,733.62,121.68,756.23,176.32,0.428,0,744.92,176.32,5.2017,7.1773
46,1,187.98,209.08,247.10,295.30,0.758,0,217.54,295.30,-4.0727,3.4272
46,2,245.14,219.05,315.32,321.55,0.680,0,280.23,321.55,-3.8705,4.4308
46,7,732.80,121.83,755.99,197.94,0.372,0,744.40,197.94,3.6134,7.4484
46,4,733.57,121.62,756.05,175.57,0.392,0,744.81,175.57,5.2639,7.1640
47,1,187.98,209.09,247.10,295.31,0.758,0,217.54,295.31,-4.0728,3.4274
47,2,245.14,219.05,315.31,321.55,0.679,0,280.23,321.55,-3.8705,4.4308
47,4,733.55,121.69,755.93,175.19,0.428,0,744.74,175.19,5.2950,7.1571
48,1,187.98,209.10,247.10,295.30,0.758,0,217.54,295.30,-4.0728,3.4273
48,2,245.05,218.87,315.53,321.95,0.679,0,280.29,321.95,-3.8734,4.4377
48,4,733.55,121.72,756.00,175.26,0.433,0,744.77,175.26,5.2894,7.1587
49,1,187.97,209.10,247.12,295.36,0.755,0,217.55,295.36,-4.0732,3.4285
49,2,245.14,219.00,315.36,321.70,0.681,0,280.25,321.70,-3.8715,4.4333
49,4,733.22,121.76,756.13,176.29,0.464,0,744.68,176.29,5.2000,7.1727
50,1,187.96,209.09,247.03,295.24,0.763,0,217.50,295.24,-4.0726,3.4255
50,2,245.24,219.05,315.36,321.57,0.683,0,280.30,321.57,-3.8702,4.4317
50,4,732.39,121.91,755.98,177.95,0.453,0,744.19,177.95,5.0535,7.1888
51,1,187.75,209.26,246.40,294.90,0.765,0,217.07,294.90,-4.0727,3.4146
51,2,245.36,219.08,315.08,320.92,0.676,0,280.22,320.92,-3.8653,4.4204
51,4,733.22,121.85,755.83,175.48,0.566,0,744.53,175.48,5.2670,7.1577
52,1,187.69,209.33,246.14,294.78,0.765,0,216.91,294.78,-4.0728,3.4106
52,2,245.38,219.09,314.99,320.68,0.676,0,280.19,320.68,-3.8635,4.4162
52,4,733.55,121.75,755.79,174.44,0.565,0,744.67,174.44,5.3590,7.1444
53,1,187.72,209.35,246.09,294.74,0.763,0,216.90,294.74,-4.0726,3.4098
53,2,245.35,219.10,314.94,320.59,0.672,0,280.15,320.59,-3.8630,4.4144
53,4,733.68,121.67,755.86,174.26,0.530,0,744.77,174.26,5.3768,7.1433
54,1,187.73,209.35,246.09,294.79,0.762,0,216.91,294.79,-4.0729,3.4109
54,2,245.32,219.10,314.94,320.57,0.672,0,280.13,320.57,-3.8630,4.4140
54,4,733.39,121.58,755.65,174.24,0.533,0,744.52,174.24,5.3741,7.1385
55,1,187.75,209.35,246.08,294.80,0.763,0,216.92,294.80,-4.0730,3.4111
55,2,245.32,219.10,314.95,320.55,0.674,0,280.14,320.55,-3.8627,4.4137
55,4,733.30,121.53,755.61,174.23,0.533,0,744.45,174.23,5.3743,7.1372
