frame,track_id,x1,y1,x2,y2,score,cls,feet_x,feet_y,three_x,three_z,zone,aspect_ratio
2,6,734,377,779,467,0.5254358649253845,0,756,467,4.930874824523926,1.7354334592819214,WALKWAY_29,2.0
2,7,1411,329,1543,482,0.6386489272117615,0,1477,482,-2.1740472316741943,1.6414446830749512,WALKWAY_27,1.1590909090909092
2,8,620,396,705,552,0.5041683912277222,0,662,552,2.8338797092437744,4.243765830993652,WALKWAY_25,1.8352941176470587
3,1,809,683,960,955,0.9656620621681213,0,884,955,-4.693751811981201,6.660315036773682,WALKWAY_16,1.8013245033112584
3,2,847,527,960,648,0.861895740032196,0,903,648,-1.5792310237884521,5.209370136260986,WALKWAY_1,1.0707964601769913
3,3,1582,328,1693,523,0.697449803352356,0,1637,523,-3.0506575107574463,1.4063806533813477,WALKWAY_28,1.7567567567567568
3,4,453,466,480,534,0.7095701098442078,0,466,534,8.117762565612793,5.031749725341797,WALKWAY_4,2.5185185185185186
3,5,780,366,815,455,0.6197803616523743,0,797,455,4.625063896179199,1.5700148344039917,WALKWAY_29,2.5428571428571427
3,6,733,376,778,469,0.5685040950775146,0,755,469,4.86114501953125,1.7562692165374756,WALKWAY_29,2.066666666666667
3,7,1411,329,1543,482,0.6384188532829285,0,1477,482,-2.1740472316741943,1.6414446830749512,WALKWAY_27,1.1590909090909092
4,1,809,683,960,955,0.9655252695083618,0,884,955,-4.693751811981201,6.660315036773682,WALKWAY_16,1.8013245033112584
4,2,846,528,960,649,0.8556946516036987,0,903,649,-1.6185331344604492,5.219274044036865,WALKWAY_1,1.0614035087719298
4,3,1582,328,1693,523,0.6984806060791016,0,1637,523,-3.0506575107574463,1.4063806533813477,WALKWAY_28,1.7567567567567568
4,4,453,467,480,534,0.7089720964431763,0,466,534,8.117762565612793,5.031749725341797,WALKWAY_4,2.4814814814814814
4,5,780,365,815,455,0.6381787657737732,0,797,455,4.625063896179199,1.5700148344039917,WALKWAY_29,2.5714285714285716
4,6,732,377,778,471,0.6277977228164673,0,755,471,4.7729878425598145,1.775740623474121,WALKWAY_29,2.0434782608695654
4,7,1411,329,1543,482,0.6400450468063354,0,1477,482,-2.1740472316741943,1.6414446830749512,WALKWAY_27,1.1590909090909092
5,1,809,683,960,955,0.9653043746948242,0,884,955,-4.693751811981201,6.660315036773682,WALKWAY_16,1.8013245033112584
5,2,846,528,960,650,0.8548411130905151,0,903,650,-1.6483267545700073,5.226782321929932,WALKWAY_1,1.0701754385964912
5,3,1582,328,1693,523,0.6973646283149719,0,1637,523,-3.0506575107574463,1.4063806533813477,WALKWAY_28,1.7567567567567568
5,4,453,467,479,534,0.7082153558731079,0,466,534,8.117762565612793,5.031749725341797,WALKWAY_4,2.576923076923077
5,5,779,364,815,456,0.5975981950759888,0,797,456,4.579688549041748,1.5814645290374756,WALKWAY_29,2.5555555555555554
