frame,track_id,x1,y1,x2,y2,score,cls,feet_x,feet_y,three_x,three_z,zone,count
4,6,732,377,778,471,0.627798855304718,0,755,471,4.7729878425598145,1.775740623474121,WALKWAY_29,0
4,7,1411,329,1543,482,0.6400456428527832,0,1477,482,-2.1740472316741943,1.6414446830749512,WALKWAY_27,0
4,8,617,400,699,549,0.4666209816932678,0,658,549,3.0629594326019287,4.1900129318237305,WALKWAY_25,0
4,9,391,512,423,557,0.39997950196266174,0,407,557,nan,nan,,0
4,10,455,455,487,531,0.3989580273628235,0,471,531,8.13674259185791,4.227896690368652,WALKWAY_26,0
5,1,809,683,960,955,0.9653042554855347,0,884,955,-4.693751811981201,6.660315036773682,WALKWAY_16,0
5,2,846,528,960,650,0.8548412919044495,0,903,650,-2.498429775238037,5.355356216430664,WALKWAY_1,0
5,3,1582,328,1693,523,0.6973648071289062,0,1637,523,-3.0506575107574463,1.4063806533813477,WALKWAY_28,0
5,4,453,467,479,534,0.7082154750823975,0,466,534,8.053686141967773,4.289917469024658,WALKWAY_26,0
5,5,779,364,815,456,0.59759920835495,0,797,456,4.579688549041748,1.5814645290374756,WALKWAY_29,0
5,6,731,377,777,472,0.5017213225364685,0,754,472,4.749425411224365,1.7862337827682495,WALKWAY_29,0
5,7,1411,329,1543,482,0.6335363984107971,0,1477,482,-2.1740472316741943,1.6414446830749512,WALKWAY_27,0
5,8,619,401,702,552,0.39643120765686035,0,660,552,2.870239496231079,4.244519233703613,WALKWAY_25,0
