frame,track_id,x1,y1,x2,y2,score,cls,feet_x,feet_y,three_x,three_z,zone,aspect_ratio
1916,62,648,636,813,1128,0.9044044613838196,0,730,1128,-4.860287189483643,7.511383056640625,WALKWAY_14,2.981818181818182
1916,105,492,414,536,521,0.5585645437240601,0,514,521,7.829829692840576,3.9616332054138184,WALKWAY_26,2.4318181818181817
1916,103,269,659,436,1001,0.6039694547653198,0,352,1001,nan,nan,,2.0479041916167664
1917,7,1459,310,1568,509,0.8756579756736755,0,1513,509,-2.5080606937408447,1.8638571500778198,WALKWAY_28,1.8256880733944953
1917,79,639,441,709,549,0.699133038520813,0,674,549,2.764519453048706,4.186157703399658,WALKWAY_25,1.542857142857143
1917,101,866,522,969,693,0.8982426524162292,0,917,693,-2.6563994884490967,5.407094955444336,WALKWAY_1,1.6601941747572815
1917,69,729,495,834,718,0.8225753903388977,0,781,718,-1.4383565187454224,5.860687732696533,WALKWAY_1,2.123809523809524
1917,62,648,635,813,1128,0.9014982581138611,0,730,1128,-4.860287189483643,7.511383056640625,WALKWAY_14,2.987878787878788
1917,105,492,414,536,521,0.5168724060058594,0,514,521,7.829829692840576,3.9616332054138184,WALKWAY_26,2.4318181818181817
1917,108,1582,322,1706,525,0.5042530298233032,0,1644,525,-3.0957159996032715,1.3772623538970947,WALKWAY_28,1.6370967741935485
1918,7,1460,310,1568,508,0.8761522173881531,0,1514,508,-2.5037858486175537,1.8602627515792847,WALKWAY_28,1.8333333333333333
1918,79,639,442,709,550,0.704384982585907,0,674,550,2.716463804244995,4.204249858856201,WALKWAY_25,1.542857142857143
1918,101,867,522,970,693,0.898114025592804,0,918,693,-2.668264389038086,5.404873847961426,WALKWAY_1,1.6601941747572815
1918,69,729,495,835,718,0.8178303837776184,0,782,718,-1.4658794403076172,5.860918045043945,WALKWAY_1,2.1037735849056602
1918,62,649,635,813,1128,0.8983470797538757,0,731,1128,-4.865508079528809,7.509671688079834,WALKWAY_14,3.0060975609756095
1918,105,492,414,535,521,0.5151487588882446,0,513,521,7.85202169418335,3.963808298110962,WALKWAY_26,2.488372093023256
1918,108,1582,322,1706,525,0.5083100199699402,0,1644,525,-3.0957159996032715,1.3772623538970947,WALKWAY_28,1.6370967741935485
1919,7,1460,310,1568,508,0.8754388093948364,0,1514,508,-2.5037858486175537,1.8602627515792847,WALKWAY_28,1.8333333333333333
1919,79,639,442,709,550,0.7265210747718811,0,674,550,2.716463804244995,4.204249858856201,WALKWAY_25,1.542857142857143
