frame,track_id,x1,y1,x2,y2,score,cls,feet_x,feet_y,three_x,three_z,zone,aspect_ratio
5,3,723.0,377.0,784.0,481.0,0.620231568813324,0,753.0,481.0,4.3976731300354,1.8687117099761963,WALKWAY_29,1.7049180327868851
5,4,843.0,530.0,963.0,645.0,0.629866898059845,0,903.0,645.0,-1.6415646076202393,5.225078105926514,IBAD_DESK_GAP,0.75
6,1,612.0,398.0,686.0,557.0,0.611556887626648,0,649.0,557.0,3.34346866607666,4.249937534332275,WALKWAY_26,2.1486486486486487
6,2,779.0,681.0,975.0,997.0,0.7230342030525208,0,877.0,997.0,-4.754251956939697,6.739211082458496,WALKWAY_16,1.6122448979591837
6,3,723.0,375.0,784.0,480.0,0.5479238033294678,0,753.0,480.0,4.43718147277832,1.8600397109985352,WALKWAY_29,1.721311475409836
6,4,843.0,530.0,963.0,645.0,0.6246500611305237,0,903.0,645.0,-1.6415646076202393,5.225078105926514,IBAD_DESK_GAP,0.75
7,1,610.0,400.0,683.0,557.0,0.6183002591133118,0,646.0,557.0,3.368797540664673,4.259970664978027,WALKWAY_26,2.1506849315068495
7,2,779.0,681.0,975.0,997.0,0.7220813035964966,0,877.0,997.0,-4.754251956939697,6.739211082458496,WALKWAY_16,1.6122448979591837
7,3,723.0,375.0,784.0,480.0,0.5478271842002869,0,753.0,480.0,4.43718147277832,1.8600397109985352,WALKWAY_29,1.721311475409836
7,4,843.0,530.0,963.0,645.0,0.6244205236434937,0,903.0,645.0,-1.6415646076202393,5.225078105926514,IBAD_DESK_GAP,0.75
8,1,605.0,402.0,678.0,558.0,0.6301614046096802,0,641.0,558.0,3.3918771743774414,4.284392833709717,WALKWAY_26,2.136986301369863
8,2,779.0,681.0,975.0,997.0,0.7307464480400085,0,877.0,997.0,-4.754251956939697,6.739211082458496,WALKWAY_16,1.6122448979591837
8,3,722.8867924528302,375.0835579514825,783.9083557951483,480.0956873315364,0.5478270339837292,0,752.8975741239892,480.0956873315364,4.439369641224329,1.8616640644896063,WALKWAY_29,1.7209869578965067
8,4,842.0,530.0,963.0,645.0,0.6168637275695801,0,902.0,645.0,-1.6281611919403076,5.227309703826904,IBAD_DESK_GAP,0.75
9,1,602.0,403.0,675.0,558.0,0.5558908581733704,0,638.0,558.0,3.4174203872680664,4.2945637702941895,WALKWAY_26,2.1232876712328768
9,2,779.0,681.0,975.0,997.0,0.7162558436393738,0,877.0,997.0,-4.754251956939697,6.739211082458496,WALKWAY_16,1.6122448979591837
