frame,track_id,x1,y1,x2,y2,score,cls,feet_x,feet_y,three_x,three_z,zone,count
2062,87,731,495,842,721,0.855067253112793,0,786,721,-2.78969669342041,6.169943332672119,WALKWAY_1,17
2062,161,1437,314,1512,479,0.6785876750946045,0,1474,479,-2.130044937133789,1.6257710456848145,WALKWAY_27,17
2062,158,466,422,507,525,0.5007033348083496,0,486,525,8.192708969116211,4.092033863067627,WALKWAY_26,17
2062,144,456,484,480,544,nan,0,468,544,7.37213134765625,4.453303337097168,WALKWAY_26,17
2062,147,1433,314,1530,478,nan,0,1481,478,-2.1485087871551514,1.6172562837600708,WALKWAY_27,17
2062,162,506,702,701,1160,nan,0,603,1160,-4.553550720214844,7.810202598571777,WALKWAY_14,17
2063,118,629,444,712,550,0.6194654703140259,0,670,550,2.7876336574554443,4.205355644226074,WALKWAY_25,17
2063,139,878,521,973,690,0.8404907584190369,0,925,690,-3.0778090953826904,5.617873191833496,WALKWAY_1,17
2063,141,549,732,703,1172,0.8847152590751648,0,626,1172,-4.852639198303223,7.779356002807617,WALKWAY_14,17
2063,87,731,495,842,721,0.8550688028335571,0,786,721,-2.78969669342041,6.169943332672119,WALKWAY_1,17
2063,161,1436,314,1511,479,0.6592378616333008,0,1473,479,-2.125877618789673,1.62617826461792,WALKWAY_27,17
2063,144,456,484,480,544,nan,0,468,544,7.37213134765625,4.453303337097168,WALKWAY_26,17
2063,147,1433,314,1530,478,nan,0,1481,478,-2.1485087871551514,1.6172562837600708,WALKWAY_27,17
2063,158,466,422,507,525,nan,0,486,525,8.192708969116211,4.092033863067627,WALKWAY_26,17
2063,162,506,702,701,1160,nan,0,603,1160,-4.553550720214844,7.810202598571777,WALKWAY_14,17
2064,118,629,444,712,550,0.608590304851532,0,670,550,2.7876336574554443,4.205355644226074,WALKWAY_25,17
2064,139,878,521,973,690,0.8413305282592773,0,925,690,-3.0778090953826904,5.617873191833496,WALKWAY_1,17
2064,141,545,730,700,1168,0.8764514327049255,0,622,1168,-4.776125907897949,7.7815375328063965,WALKWAY_14,17
2064,87,731,495,842,722,0.8518385887145996,0,786,722,-2.801208019256592,6.176321983337402,WALKWAY_1,17
2064,161,1435,314,1510,479,0.6808580756187439,0,1472,479,-2.1217048168182373,1.6265859603881836,WALKWAY_27,17
2064,158,466,422,507,525,0.5083589553833008,0,486,525,8.192708969116211,4.092033863067627,WALKWAY_26,17
2064,144,456,484,480,544,nan,0,468,544,7.37213134765625,4.453303337097168,WALKWAY_26,17
2064,147,1433,314,1530,478,nan,0,1481,478,-2.1485087871551514,1.6172562837600708,WALKWAY_27,17
2064,162,506,702,701,1160,nan,0,603,1160,-4.553550720214844,7.810202598571777,WALKWAY_14,17
2065,118,632,446,712,549,0.600692629814148,0,672,549,2.800518274307251,4.186622619628906,WALKWAY_25,17
2065,139,876,521,972,690,0.849753201007843,0,924,690,-3.0733509063720703,5.620160102844238,WALKWAY_1,17
2065,87,731,495,842,722,0.8564853668212891,0,786,722,-2.801208019256592,6.176321983337402,WALKWAY_1,17
2065,161,1435,314,1510,479,0.6790575981140137,0,1472,479,-2.1217048168182373,1.6265859603881836,WALKWAY_27,17
2065,158,466,422,507,525,0.5367792844772339,0,486,525,8.192708969116211,4.092033863067627,WALKWAY_26,17
2065,162,517,725,703,1166,0.8511855602264404,0,610,1166,-4.678234100341797,7.804440021514893,WALKWAY_14,17
2065,141,545,730,700,1168,nan,0,622,1168,-4.776125907897949,7.7815375328063965,WALKWAY_14,17
2065,144,456,484,480,544,nan,0,468,544,7.37213134765625,4.453303337097168,WALKWAY_26,17
2065,147,1433,314,1530,478,nan,0,1481,478,-2.1485087871551514,1.6172562837600708,WALKWAY_27,17
2066,118,632,445,713,549,0.6617488861083984,0,672,549,2.800518274307251,4.186622619628906,WALKWAY_25,17
2066,139,876,520,972,690,0.8502517938613892,0,924,690,-3.0733509063720703,5.620160102844238,WALKWAY_1,17
2066,87,732,495,842,722,0.852454662322998,0,787,722,-2.8058693408966064,6.173713684082031,WALKWAY_1,17
2066,161,1434,313,1509,479,0.692668616771698,0,1471,479,-2.1175262928009033,1.626994252204895,WALKWAY_27,17
2066,158,466,422,507,525,0.5406685471534729,0,486,525,8.192708969116211,4.092033863067627,WALKWAY_26,17
2066,162,508,717,697,1162,0.8563946485519409,0,602,1162,-4.574904441833496,7.8156938552856445,WALKWAY_14,17
2066,141,545,730,700,1168,nan,0,622,1168,-4.776125907897949,7.7815375328063965,WALKWAY_14,17
2066,144,456,484,480,544,nan,0,468,544,7.37213134765625,4.453303337097168,WALKWAY_26,17
2066,147,1433,314,1530,478,nan,0,1481,478,-2.1485087871551514,1.6172562837600708,WALKWAY_27,17
2067,118,632,444,713,549,0.6870217323303223,0,672,549,2.800518274307251,4.186622619628906,WALKWAY_25,17
2067,139,876,520,971,690,0.8505274653434753,0,923,690,-3.0688881874084473,5.6224493980407715,WALKWAY_1,17
2067,87,732,496,842,721,0.8508827686309814,0,787,721,-2.794372320175171,6.167334079742432,WALKWAY_1,17
2067,161,1434,314,1508,479,0.6962659358978271,0,1471,479,-2.1175262928009033,1.626994252204895,WALKWAY_27,17
2067,158,466,422,507,525,0.56417316198349,0,486,525,8.192708969116211,4.092033863067627,WALKWAY_26,17
2067,141,541,728,696,1166,0.8842881917953491,0,618,1166,-4.725802421569824,7.786962509155273,WALKWAY_14,17
